Year	Liquid wholemilk (ml)	Skimmed milk 	Yoghurt and fromage frais	Total milk and cream 	Natural cheese 	Processed cheese	Total cheese 	Eggs ( )	Oranges and other citrus fruit 	Apples and pears	Bananas	Total fresh fruit 	Fruit juice (ml)	Total other fruit  (c)	Total Fruit 	Potatoes	Fresh green vegetables	Other fresh vegetables	Canned vegetables	Frozen vegetables	Other vegetables and products (d)	Total vegetables 	Bread	Flour	Cakes and pastries	Biscuits	Break-fast cereal	Total cereals (excluding bread) 	Bread & cereal products 	Sugar	Preserves 	Tea	Coffee	Total beverages 	Fresh white fish	Fresh fat fish	Shellfish	Cooked fish	Total fish and fish products 	Butter	Margarine	Lard	All other fats (f)	Vegetable and oils	Low fat spreads	Reduced fat spreads	Total fats 	Beef and veal	Mutton and lamb	Pork	Bacon and ham	Pork, bacon and ham	Poultry	Sausages	Total meat and meat products 
1981	2276	35	48	2528	104	7	110	3.68	142	239	88	568	113	223	791	1187	340	446	266	138	483	2456	885	169	79	152	100	695	1580	313	58	56	19	84	33	5	3	22	139	105	116	51	41	25			313	198	121	108	150	258	207	97	1116
1982	2248	46	48	2502	101	7	108	3.51	128	222	83	531	122	232	763	1160	316	441	265	150	491	2408	879	149	77	160	100	676	1555	292	56	57	18	83	30	6	3	23	142	90	123	50	49	29			311	201	101	114	145	259	194	94	1097
1983	2159	69	55	2444	107	7	114	3.53	137	230	81	555	147	256	811	1134	304	444	270	139	493	2375	871	141	74	156	108	679	1550	279	57	58	19	86	31	6	4	24	146	93	116	48	46	28			303	187	110	100	145	245	198	94	1082
1984	2053	185	65	2450	102	7	109	3.21	131	223	83	539	150	251	790	1128	306	432	261	147	481	2347	866	123	73	150	117	665	1531	259	56	51	19	78	30	6	4	20	138	81	116	43	52	30	12		292	178	94	93	134	227	206	85	1037
1985	1888	244	74	2348	103	7	111	3.15	117	227	80	524	148	242	766	1162	276	445	279	170	525	2408	878	115	70	147	114	648	1526	238	53	49	19	77	29	7	4	17	139	80	106	41	57	29	13		286	185	93	98	137	235	195	84	1042
1986	1728	398	78	2360	110	8	118	3.01	144	235	87	576	194	297	873	1100	315	477	291	178	555	2447	873	117	72	154	124	684	1557	228	57	49	20	78	29	7	5	18	146	64	116	39	39	39	20	11	297	187	86	103	136	239	207	77	1051
1987	1635	447	81	2314	108	8	116	2.88	135	230	91	575	204	307	882	1071	285	474	268	191	552	2382	868	111	75	151	125	689	1557	212	54	48	19	77	26	7	4	21	144	61	113	33	79	39	20	11	285	192	75	90	132	222	231	76	1050
1988	1513	527	89	2280	109	8	117	2.67	146	242	101	595	211	310	905	1033	293	475	271	185	551	2352	859	103	73	149	126	676	1535	196	52	47	20	75	27	7	5	18	143	57	108	29	86	40	20	18	280	180	78	94	131	225	229	70	1037
1989	1377	622	92	2236	106	9	115	2.29	146	240	113	608	214	311	919	1009	290	486	255	190	540	2325	834	93	69	149	126	678	1512	183	50	46	18	74	27	9	5	16	147	50	98	25	96	41	25	21	269	171	85	89	130	219	220	71	1019
1990	1232	709	97	2169	105	9	113	2.2	134	239	125	605	202	290	895	996	277	459	247	185	529	2261	797	91	70	149	127	673	1470	171	48	43	18	70	24	8	5	15	144	46	91	23	97	44	26	19	255	149	83	84	118	202	226	68	968
1991	1104	778	109	2129	107	9	117	2.25	133	225	129	610	250	341	951	959	259	461	249	199	545	2224	752	81	79	147	134	702	1454	167	51	42	19	71	23	10	6	11	139	44	89	17	98	43	26	21	248	152	86	82	118	200	216	62	962
