Cereals and cereal products	24.0763284115054	23.6507864244881	23.8403729100796	19.2269783800693	18.7783432944331	24.6138714993043	23.2345827528073	23.8509693732881	19.7393667533996	20.0134022415709	18.7094114289046	24.3388532963809	23.4480975513446	19.4841674186295	19.4711869653387
     of which:															
     Pasta, rice, pizza and other miscellaneous cereals	5.20938472345355	7.98804768203259	6.75010416286875	5.62104535209191	1.8222560043417	5.29331267109858	7.82597902831029	6.69416260430789	4.87422376394332	2.14346428714653	4.0396046595535	5.25037339076869	7.90912114911134	5.24618453121993	2.00244750556479
     White bread	2.54634686367423	2.85723260629858	2.71872750653682	2.71508077171404	2.15135766344281	2.51465691849785	2.70564421495603	2.62029441817302	2.29476562444082	1.37948515834879	1.80252815389841	2.5308701523222	2.78340990286404	2.50410711531189	1.7183524363322
     Wholemeal bread	0.65405389590634	0.436544758501433	0.533448928248966	0.942216668363375	1.10384054273995	0.472831259103791	0.397529627580935	0.431180970194249	0.870634740422756	1.03583126619081	0.561333763346829	0.565548522210207	0.417544606749078	0.906286721113268	1.06568868211084
     Brown, granary and wheatgerm bread	0.664015111725233	0.440150086589089	0.539885916794443	0.711371775605018	0.804268470165588	0.661921499010095	0.567966245257777	0.609953654698971	0.684253292623217	0.879396168476969	0.642164475416499	0.662992634737822	0.502395844934918	0.697759880940103	0.846413624779763
     Other breads	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
     High fibre breakfast cereals	1.11214861637065	0.673032497469178	0.868666499022375	0.908352733919511	1.67855984517253	0.984108166439987	0.596913762745521	0.769946023443957	1.25207411784123	2.00908501895842	1.60023129881354	1.04961631869925	0.635963097038516	1.08088079439989	1.86397793818194
     Other breakfast cereals	0.544721082742552	0.664759827627479	0.611280442580055	0.343845618120894	0.108454539187228	0.530438339110338	0.52746641511544	0.528794530198082	0.326990552314404	0.343244822239405	0.294884481070205	0.537745687257316	0.59789869937334	0.335385359466969	0.240167249726114
     Biscuits	5.82631121916281	4.89401431519765	5.30936908380565	3.18349549387016	3.90129216195303	5.7173873910969	4.96422765657614	5.30080517496918	4.15335249049619	4.14873875917838	5.30927650278836	5.77311508275579	4.92820782191559	3.67030706393332	4.04010481471912
     Buns, cakes, pastries and fruit pies	5.93664556536866	4.19842814881655	4.97283476732159	3.57395857253518	5.53215270984973	6.5789167391312	4.37426745719741	5.35949721687442	4.06002837361264	5.96224416689664	3.16337298452944	6.2503174733105	4.2840609139628	3.81793722489938	5.7734255208488
     Puddings	1.36515345656374	1.35018352263264	1.35685289310634	1.06895701531206	1.58137474062942	1.71595382173789	1.03782927282338	1.34087451989874	0.978409059436876	1.85675028926574	1.22149839272318	1.53647707242253	1.19806874032005	1.02350722970557	1.73585498340405
Milk and milk products  	19.3816211299037	13.2973828285519	16.00801865826	12.8145250800507	15.9568574039888	20.5931747297739	13.1171501910879	16.458090593694	13.7159359914194	16.375097266441	33.6590482392625	19.9733187566535	13.2096105365783	13.2669807127492	16.1914817045471
    of which:															
    Whole milk (3.8% fat)	5.72573812890785	2.15519272203962	3.7459338850388	1.56076399899455	2.30888816230891	5.68380877144343	1.68697807161373	3.47311094187641	1.18748141242471	1.9886064575148	15.3913640543997	5.70526070116094	1.92717479153734	1.37339794123813	2.1292164530454
    Semi skimmed milk (1.8% fat)	3.42462483863999	2.82042346748974	3.08960587026228	2.38431259071354	2.69240212784953	3.08610021170581	2.22011695841655	2.60711387421357	2.62586130703726	3.74827672367546	3.64336607965659	3.25929643849758	2.5280775365339	2.50555593921683	3.28472691743411
    Skimmed milk (0.5% fat)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
    Other milk and cream	0.780949176493823	0.735842254961203	0.755938186714401	0.891733610149087	1.85476330944538	1.12751941251639	1.06306411947012	1.09186837119318	1.08472972747405	1.75880937614781	3.50404403612656	0.950206885090981	0.895197482937422	0.988606389556676	1.80093504842368
    Cheese	4.90946956447986	5.1199305075406	5.02616643309798	6.4078607282489	6.7916404956065	5.72459412760894	5.35546944701037	5.52042657798678	6.479378644291	5.53672289621523	6.12482579426871	5.30755947941272	5.23463666097204	6.44375854526443	6.087656513092
    Yoghurt, fromage frais and other dairy desserts	2.34558443083123	1.18632705079739	1.70279672777816	0.738619278836966	1.04020617871205	2.45820127164437	1.20484344159497	1.76495313514484	1.24279177881359	1.94083236232385	3.45268074900281	2.40058415799834	1.19534443012586	0.991684428802502	1.54543967595793
     Ice cream	2.1643172740876	1.23124036052429	1.64694263721128	0.746884248444879	1.17772825099364	2.44969568377589	1.50537476988238	1.92737979112423	0.962731241408481	1.26094519287486	1.47369003211162	2.3036901650239	1.36474229311961	0.855226832870798	1.22441131144847
Eggs and egg dishes	2.17574278614396	2.3083556962552	2.24927429808749	3.86266487997126	3.99056469777939	2.75028535743295	2.47268994211531	2.59674380708241	4.31246525948102	4.33819215397357	2.52531997061748	2.4563374506597	2.38838555994612	4.08843840093971	4.18557683336636
Fat spreads  	9.82340134197889	8.44831968896808	9.06094289877847	10.0874942323892	15.468690355646	9.1558119195479	7.89082566075963	8.45613195140352	9.96289558244046	14.681758845449	9.60147834617423	9.49736452698533	8.1768231980662	10.0249529870094	15.0272373241614
Meat and meat products	19.1286772324995	26.0237965314562	22.9518988679951	26.5136122863144	21.4987034862052	18.2675823551224	22.2107256634917	20.4485850065119	22.2648414938275	18.9642102246496	15.1176081365759	18.7081363704154	24.1668522274261	24.3809774880663	20.0769028350776
    of which:															
